zona,geohash6,data,Hora,Minuto,localizacao_dicofre,rua,cidade,nivel_de_intensidade,velocidade,velocidade_kmh,atraso,comprimento,latitude,longitude,geowkt,geo
Alameda das Linhas de Torres,eyckx9,2026-08-31,16,13,110618,Al. das Linhas de Torres,LISBOA,40% a 21% da velocidade de fluxo livre,3.66667,13.2,75,475,38.7651,-9.15727,"LineString(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196, -9.156922 38.763867, -9.156807 38.763378, -9.156741 38.763099, -9.156693 38.762989)","LINESTRING(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196, -9.156922 38.763867, -9.156807 38.763378, -9.156741 38.763099, -9.156693 38.762989)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,16,46,110618,R. Joaquim Agostinho,LISBOA,20% a 1% da velocidade de fluxo livre,1.20833,4.35,78,160,38.7646,-9.15588,"LineString(-9.155983 38.765291, -9.155766 38.764309, -9.155796 38.764124, -9.156127 38.764082)","LINESTRING(-9.155983 38.765291, -9.155766 38.764309, -9.155796 38.764124, -9.156127 38.764082)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,17,3,110618,Al. das Linhas de Torres,LISBOA,40% a 21% da velocidade de fluxo livre,3.46111,12.46,87,501,38.765,-9.15723,"LineString(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196, -9.156922 38.763867, -9.156807 38.763378, -9.156741 38.763099, -9.156693 38.762989, -9.156599 38.762766)","LINESTRING(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196, -9.156922 38.763867, -9.156807 38.763378, -9.156741 38.763099, -9.156693 38.762989, -9.156599 38.762766)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,17,55,110618,Al. das Linhas de Torres,LISBOA,20% a 1% da velocidade de fluxo livre,5.05,18.18,93,925,38.7639,-9.15686,"LineString(-9.155254 38.759976, -9.155469 38.76035, -9.155589 38.760579, -9.155646 38.760703, -9.1558 38.761014, -9.155826 38.761072, -9.156599 38.762766, -9.156693 38.762989, -9.156741 38.763099, -9.156807 38.763378, -9.156922 38.763867, -9.157009 38.764196, -9.157226 38.765146, -9.157422 38.765877, -9.1577 38.766494, -9.157789 38.766674, -9.157998 38.767133, -9.158224 38.767631, -9.158352 38.767911)","LINESTRING(-9.155254 38.759976, -9.155469 38.76035, -9.155589 38.760579, -9.155646 38.760703, -9.1558 38.761014, -9.155826 38.761072, -9.156599 38.762766, -9.156693 38.762989, -9.156741 38.763099, -9.156807 38.763378, -9.156922 38.763867, -9.157009 38.764196, -9.157226 38.765146, -9.157422 38.765877, -9.1577 38.766494, -9.157789 38.766674, -9.157998 38.767133, -9.158224 38.767631, -9.158352 38.767911)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,17,55,110618,Al. das Linhas de Torres,LISBOA,20% a 1% da velocidade de fluxo livre,5.24167,18.87,70,758,38.7632,-9.1566,"LineString(-9.155254 38.759976, -9.155469 38.76035, -9.155589 38.760579, -9.155646 38.760703, -9.1558 38.761014, -9.155826 38.761072, -9.156599 38.762766, -9.156693 38.762989, -9.156741 38.763099, -9.156807 38.763378, -9.156922 38.763867, -9.157009 38.764196, -9.157226 38.765146, -9.157422 38.765877, -9.1577 38.766494)","LINESTRING(-9.155254 38.759976, -9.155469 38.76035, -9.155589 38.760579, -9.155646 38.760703, -9.1558 38.761014, -9.155826 38.761072, -9.156599 38.762766, -9.156693 38.762989, -9.156741 38.763099, -9.156807 38.763378, -9.156922 38.763867, -9.157009 38.764196, -9.157226 38.765146, -9.157422 38.765877, -9.1577 38.766494)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,17,55,110618,Av. Rainha D.ª Amélia,LISBOA,60% a 41% da velocidade de fluxo livre,1.58611,5.71,109,207,38.7669,-9.16337,"LineString(-9.162183 38.766866, -9.162411 38.766881, -9.162856 38.766912, -9.163615 38.766949, -9.16433 38.766985, -9.164557 38.766998)","LINESTRING(-9.162183 38.766866, -9.162411 38.766881, -9.162856 38.766912, -9.163615 38.766949, -9.16433 38.766985, -9.164557 38.766998)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,17,55,110618,Av. Rainha D.ª Amélia,LISBOA,60% a 41% da velocidade de fluxo livre,1.65278,5.95,129,257,38.7669,-9.16308,"LineString(-9.161613 38.766825, -9.162183 38.766866, -9.162411 38.766881, -9.162856 38.766912, -9.163615 38.766949, -9.16433 38.766985, -9.164557 38.766998)","LINESTRING(-9.161613 38.766825, -9.162183 38.766866, -9.162411 38.766881, -9.162856 38.766912, -9.163615 38.766949, -9.16433 38.766985, -9.164557 38.766998)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,17,55,110618,Av. Rainha D.ª Amélia,LISBOA,60% a 41% da velocidade de fluxo livre,1.71389,6.17,99,207,38.7669,-9.16337,"LineString(-9.162183 38.766866, -9.162411 38.766881, -9.162856 38.766912, -9.163615 38.766949, -9.16433 38.766985, -9.164557 38.766998)","LINESTRING(-9.162183 38.766866, -9.162411 38.766881, -9.162856 38.766912, -9.163615 38.766949, -9.16433 38.766985, -9.164557 38.766998)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,18,9,110618,Al. das Linhas de Torres,LISBOA,20% a 1% da velocidade de fluxo livre,3.96944,14.29,73,508,38.7714,-9.1604,"LineString(-9.159139 38.769339, -9.159561 38.769963, -9.160004 38.770647, -9.160546 38.771659, -9.160626 38.771802, -9.160685 38.771895, -9.160852 38.772172, -9.161074 38.77258, -9.161529 38.773372, -9.161599 38.773496)","LINESTRING(-9.159139 38.769339, -9.159561 38.769963, -9.160004 38.770647, -9.160546 38.771659, -9.160626 38.771802, -9.160685 38.771895, -9.160852 38.772172, -9.161074 38.77258, -9.161529 38.773372, -9.161599 38.773496)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,18,42,110618,R. António Lopes Ribeiro,LISBOA,40% a 21% da velocidade de fluxo livre,1.28333,4.62,61,174,38.7673,-9.15336,"LineString(-9.152905 38.766644, -9.152989 38.766999, -9.153052 38.767237, -9.153151 38.767349, -9.15329 38.767428, -9.153441 38.76748, -9.153598 38.767504, -9.153764 38.767499, -9.153945 38.767451, -9.154118 38.767361)","LINESTRING(-9.152905 38.766644, -9.152989 38.766999, -9.153052 38.767237, -9.153151 38.767349, -9.15329 38.767428, -9.153441 38.76748, -9.153598 38.767504, -9.153764 38.767499, -9.153945 38.767451, -9.154118 38.767361)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,19,17,110618,R. António Lopes Ribeiro,LISBOA,40% a 21% da velocidade de fluxo livre,1.42222,5.12,64,203,38.7673,-9.15371,"LineString(-9.154224 38.766769, -9.154267 38.766922, -9.154279 38.767075, -9.154118 38.767361, -9.153945 38.767451, -9.153764 38.767499, -9.153598 38.767504, -9.153441 38.76748, -9.15329 38.767428, -9.153151 38.767349, -9.153052 38.767237, -9.152989 38.766999)","LINESTRING(-9.154224 38.766769, -9.154267 38.766922, -9.154279 38.767075, -9.154118 38.767361, -9.153945 38.767451, -9.153764 38.767499, -9.153598 38.767504, -9.153441 38.76748, -9.15329 38.767428, -9.153151 38.767349, -9.153052 38.767237, -9.152989 38.766999)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,19,17,110618,R. António Lopes Ribeiro,LISBOA,40% a 21% da velocidade de fluxo livre,1.43333,5.16,62,203,38.7673,-9.15371,"LineString(-9.154224 38.766769, -9.154267 38.766922, -9.154279 38.767075, -9.154118 38.767361, -9.153945 38.767451, -9.153764 38.767499, -9.153598 38.767504, -9.153441 38.76748, -9.15329 38.767428, -9.153151 38.767349, -9.153052 38.767237, -9.152989 38.766999)","LINESTRING(-9.154224 38.766769, -9.154267 38.766922, -9.154279 38.767075, -9.154118 38.767361, -9.153945 38.767451, -9.153764 38.767499, -9.153598 38.767504, -9.153441 38.76748, -9.15329 38.767428, -9.153151 38.767349, -9.153052 38.767237, -9.152989 38.766999)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,19,17,110618,R. António Lopes Ribeiro,LISBOA,40% a 21% da velocidade de fluxo livre,1.45556,5.24,60,203,38.7673,-9.15371,"LineString(-9.154224 38.766769, -9.154267 38.766922, -9.154279 38.767075, -9.154118 38.767361, -9.153945 38.767451, -9.153764 38.767499, -9.153598 38.767504, -9.153441 38.76748, -9.15329 38.767428, -9.153151 38.767349, -9.153052 38.767237, -9.152989 38.766999)","LINESTRING(-9.154224 38.766769, -9.154267 38.766922, -9.154279 38.767075, -9.154118 38.767361, -9.153945 38.767451, -9.153764 38.767499, -9.153598 38.767504, -9.153441 38.76748, -9.15329 38.767428, -9.153151 38.767349, -9.153052 38.767237, -9.152989 38.766999)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,19,18,110618,Al. das Linhas de Torres,LISBOA,40% a 21% da velocidade de fluxo livre,3.36667,12.12,86,475,38.7651,-9.15727,"LineString(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196, -9.156922 38.763867, -9.156807 38.763378, -9.156741 38.763099, -9.156693 38.762989)","LINESTRING(-9.157998 38.767133, -9.157789 38.766674, -9.1577 38.766494, -9.157422 38.765877, -9.157226 38.765146, -9.157009 38.764196, -9.156922 38.763867, -9.156807 38.763378, -9.156741 38.763099, -9.156693 38.762989)"
Alameda das Linhas de Torres,eyckx9,2026-08-31,19,35,110618,R. Joaquim Agostinho,LISBOA,40% a 21% da velocidade de fluxo livre,0.713889,2.57,170,160,38.7646,-9.15588,"LineString(-9.155983 38.765291, -9.155766 38.764309, -9.155796 38.764124, -9.156127 38.764082)","LINESTRING(-9.155983 38.765291, -9.155766 38.764309, -9.155796 38.764124, -9.156127 38.764082)"
