stop_id,stop_id_stepp,stop_code,stop_name,stop_desc,stop_remarks,stop_lat,stop_lon,zone_shift,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality
090243,0,090243,ALTO DA SERRA,,,38.650029,-9.046642,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090247,0,090247,R Ville Plaisir 28,,,38.659822,-9.049492,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090248,0,090248,R VILLE PLAISIR 28,,,38.659822,-9.049396,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090249,0,090249,VALE AMOREIRA (R JOSE ALM NEGREIROS 18),,,38.64997,-9.04042,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090251,0,090251,VALE DA AMOREIRA (BILBIOTECA),,,38.648421,-9.041504,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090253,0,090253,VALE AMOREIRA (ESC SEC BAIXA BANHEIRA),,,38.646318,-9.039391,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090255,0,090255,VALE AMOREIRA (R BORDALO PINHEIRO 3),,,38.650972,-9.038347,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090257,0,090257,R VILLE PLAISIR,,,38.657691,-9.049329,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1504
090259,0,090259,AV 1º DE MAIO - ESC MOUZINHO DA SILVEIRA,,,38.649578,-9.043672,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090260,0,090260,AV 1º DE MAIO - ESC MOUZINHO DA SILVEIRA,,,38.649312,-9.043971,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090261,0,090261,AV 1 DE MAIO X R DA UNIÃO,,,38.651196,-9.039784,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090262,0,090262,AV 1 DE MAIO X R DA UNIÃO,,,38.65137,-9.038844,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090263,0,090263,Bº VILA ROSA (R D JOÃO ALMEIDA 17),,,38.648721,-9.022946,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090264,0,090264,Bº VILA ROSA (R D JOÃO ALMEIDA 17),,,38.648825,-9.022853,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090265,0,090265,Bº VILA ROSA (R D JOÃO ALMEIDA 12),,,38.650349,-9.02368,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090266,0,090266,Bº VILA ROSA (R D JOÃO ALMEIDA 12),,,38.650452,-9.023605,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090267,0,090267,ALHOS VEDROS (R ARTUR PAIVA 56),,,38.650582,-9.021842,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090268,0,090268,ALHOS VEDROS (R ARTUR PAIVA 56),,,38.650748,-9.022184,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090269,0,090269,ARROTEIAS (R PADRE ANTÓNIO VIEIRA 10),,,38.649364,-9.018087,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090270,0,090270,ARROTEIAS (R PADRE ANTÓNIO VIEIRA 10),,,38.649393,-9.017977,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090271,0,090271,ARROTEIAS (EN 11-2) SUPERMERCADO,,,38.64297,-9.000365,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090272,0,090272,Estrada Regional 11 (Comércio Automóvel),,,38.642737,-9.000396,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090277,0,090277,BAIXA BANHEIRA (R V PLAISIR/R AMIZADE),,,38.658417,-9.049419,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090279,0,090279,ARROTEIAS (EN 11-2) Bº JOSÉ FERRO,,,38.64162,-9.00358,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090280,0,090280,ARROTEIAS (EN 11-2) Bº JOSÉ FERRO,,,38.641766,-9.002392,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090281,0,090281,EM PINHAL FORNO X R ANDORINHAS),,,38.636795,-9.004405,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090282,0,090282,EM PINHAL FORNO X R ANDORINHAS),,,38.6369,-9.00433,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090284,0,090284,PINHAL FORNO (CEMITÉRIO),,,38.635737,-9.001199,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090289,0,090289,BARRA CHEIA (ESTR MUN PINHAL FORNO),,,38.605612,-9.004108,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090290,0,090290,BARRA CHEIA (ESTR MUN PINHAL FORNO),,,38.605731,-9.003859,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090291,0,090291,BARRA CHEIA (EM 1020) CAPELA,,,38.608121,-9.001904,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090292,0,090292,BARRA CHEIA (EM 1020) CAPELA,,,38.607999,-9.00186,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090293,0,090293,BARRA CHEIA (EM 1020 6),,,38.610082,-8.999371,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090294,0,090294,BARRA CHEIA (EM 1020 6),,,38.609897,-8.999482,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090295,0,090295,BREJOS MOITA (EM 1020) X SANTA,,,38.612301,-8.991931,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090296,0,090296,BREJOS MOITA (EM 1020) X SANTA,,,38.612232,-8.99185,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090297,0,090297,BREJOS MOITA (EM 1020) XESTR L CAMÕES,,,38.617058,-8.987582,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090298,0,090298,BREJOS MOITA (EM 1020) XESTR L CAMÕES,,,38.616938,-8.987483,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090299,0,090299,BREJOS MOITA (EM 1020) VACARIA,,,38.622707,-8.98848,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090300,0,090300,BREJOS MOITA (EM 1020) VACARIA,,,38.622599,-8.988337,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090301,0,090301,BREJOS MOITA (EM 1020) ESC PRIMÁRIA,,,38.62571,-8.988929,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090302,0,090302,BREJOS MOITA (EM 1020) ESC PRIMÁRIA,,,38.625881,-8.98884,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090303,0,090303,BREJOS MOITA (EM 1020)CENTRAL ELECTR,,,38.629121,-8.989403,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090304,0,090304,BREJOS MOITA (EM 1020)CENTRAL ELECTR,,,38.629269,-8.98932,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090305,0,090305,BREJOS MOITA (EM 1020) X ACESSO IC13,,,38.637474,-8.989775,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090306,0,090306,BREJOS MOITA (EM 1020) X ACESSO IC13,,,38.637584,-8.989668,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090307,0,090307,MOITA (R SANTOS SILVA 15),,,38.646496,-8.991086,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090308,0,090308,MOITA (R SANTOS SILVA 15),,,38.646674,-8.991135,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090311,0,090311,CABEÇO VERDE (EN11-2) X FONTE FETO 11,,,38.629009,-9.021681,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090312,0,090312,MOITA (AV 1º MAIO 14),,,38.65309,-9.025638,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090313,0,090313,FIDALGUINHOS,,,38.652744,-9.046957,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090314,0,090314,ALHOS VEDROS (AV 1º MAIO 14),,,38.652957,-9.0259,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090315,0,090315,Estrada Municipal 1024 (Frente Quinta Cruz do Campo),,,38.652125,-8.955715,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090316,0,090316,Estrada Municipal 1024 (Quinta Cruz do Campo),,,38.652009,-8.95576,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090317,0,090317,Rua dos Pomares (Quinta das Laranjeiras),,,38.650222,-8.95939,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090318,0,090318,Rua dos Pomares (Frente Quinta das Laranjeiras),,,38.650193,-8.95948,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
090319,0,090319,Rua dos Pomares (X) Rua Mário Sacramento,,,38.647767,-8.959436,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
091080,0,091080,Rua dos Descobrimentos 7,,,38.64822,-8.98832,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
