stop_id,stop_id_stepp,stop_code,stop_name,stop_desc,stop_remarks,stop_lat,stop_lon,zone_id,zone_shift,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2
070672,70672,"070672","R M R Bastos (X) R Teófilo L Constantino","","",38.796518,-9.111357,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070673,70673,"070673","R Teófilo Lopes Constantino 31","","",38.796237,-9.113297,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070674,70674,"070674","R Teófilo Lopes Constantino 31","","",38.796096,-9.113058,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070675,70675,"070675","R Salvador Allende 44","","",38.795607,-9.115723,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070676,70676,"070676","R Salvador Allende 44","","",38.795366,-9.11568,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070677,70677,"070677","R Salvador Allende 30","","",38.794789,-9.113859,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070678,70678,"070678","R Salvador Allende 30","","",38.794905,-9.113469,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070679,70679,"070679","R Júlio C Pereira (X) R S Allende","","",38.794161,-9.111522,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070681,70681,"070681","R Júlio Bruno Costa Pereira 3B","","",38.79325,-9.110351,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070682,70682,"070682","R Júlio Bruno Costa Pereira 3B","","",38.793175,-9.110539,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070683,70683,"070683","R Heróis Ultramar 12 (Escola)","","",38.792223,-9.110535,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070684,70684,"070684","R Heróis Ultramar 12 (Escola)","","",38.792254,-9.110668,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070685,70685,"070685","R Trigueiros Martel 15 (Sacavém)","","",38.791038,-9.112331,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070686,70686,"070686","R Trigueiros Martel 15 (Sacavém)","","",38.791013,-9.112467,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070687,70687,"070687","R Estado Índia 10 (Sacavém)","","",38.790129,-9.110523,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070688,70688,"070688","R Estado Índia 10 (Sacavém)","","",38.790262,-9.110655,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070689,70689,"070689","R Sport Grupo Sacavenense (X) R Loriga","","",38.78897,-9.105589,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
