line_id,line_short_name,line_long_name,route_id,agency_id,route_origin,route_destination,route_short_name,route_long_name,route_desc,route_remarks,route_type,contract,path_type,circular,school,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
2213,2213,Odivelas (Metro) | Circular via Famões,2213_0,42,Odivelas (Metro),Odivelas (Metro),2213,Odivelas (Metro) | Circular via Famões,,,3,"",1,1,,,C61D23,FFFFFF,,,
2213,2213,Odivelas (Metro) | Circular via Famões,2213_1,42,Odivelas (Metro),Famões,2213,Odivelas (Metro) - Famões,,,3,"",3,0,,,C61D23,FFFFFF,,,
2215,2215,Odivelas (Metro) - Ramada (Bons Dias),2215_0,42,Odivelas (Metro),Bons Dias,2215,Odivelas (Metro) - Ramada (Bons Dias),,,3,"",1,0,,,C61D23,FFFFFF,,,
2217,2217,Odivelas (Metro) | Circular via Casal Chapim,2217_0,42,,Odivelas (Metro),2217,Odivelas (Metro) | Circular via Casal Chapim,,,3,"",1,1,,,C61D23,FFFFFF,,,
2218,2218,Odivelas (Metro) | Circular via Colinas do Cruzeiro,2218_0,42,Odivelas (Metro),Odivelas (Metro),2218,Odivelas (Metro) | Circular via Colinas do Cruzeiro,,,3,"",1,1,,,C61D23,FFFFFF,,,
2219,2219,Odivelas (Metro) | Circular via Póvoa de Santo Adrião,2219_0,42,,Odivelas (Metro),2219,Odivelas (Metro) | Circular via Póvoa de Santo Adrião,,,3,"",1,1,,,C61D23,FFFFFF,,,
2220,2220,Olival Basto | Circular via Póvoa de Santo Adrião e Odivelas (Metro),2220_0,42,,Olival Basto,2220,Olival Basto | Circular via Póvoa de Santo Adrião e Odivelas (Metro),,,3,"",1,1,,,3D85C6,FFFFFF,,,
2221,2221,Póvoa de Santo Adrião (Parque Urbano) - Senhor Roubado (Metro),2221_0,42,Póvoa de Santo Adrião (Parque Urbano),Senhor Roubado (Metro),2221,Póvoa de Santo Adrião (Parque Urbano) - Senhor Roubado (Metro),,,3,"",1,0,,,C61D23,FFFFFF,,,
2222,2222,Ramada | Circular,2222_0,42,Ramada,Ramada,2222,Ramada | Circular,,,3,"",1,1,,,3D85C6,FFFFFF,,,
2223,2223,Senhor Roubado (Metro) | Circular via Casal Novo,2223_0,42,,Senhor Roubado (Metro),2223,Senhor Roubado (Metro) | Circular via Casal Novo,,,3,"",1,1,,,C61D23,FFFFFF,,,
2223,2223,Senhor Roubado (Metro) | Circular via Casal Novo,2223_1,42,,Senhor Roubado (Metro),2223,Casal Novo (Trigache) - Senhor Roubado (Metro),,,3,"",3,0,,,C61D23,FFFFFF,,,
2224,2224,Arroja | Circular via Odivelas (Centro Comercial),2224_0,42,,Arroja,2224,Arroja | Circular via Odivelas (Centro Comercial),,,3,"",1,1,,,C61D23,FFFFFF,,,
2225,2225,Odivelas (Metro) | Circular via Arroja,2225_0,42,,Odivelas (Metro),2225,Odivelas (Metro) | Circular via Arroja,,,3,"",1,1,,,C61D23,FFFFFF,,,
