layover_id,agency_id,service_id,start_time,end_time,location_id,block_id,start_shift_id,end_shift_id
ED109_666_720,43,ESC_DOM,11:06:00,12:00:00,020549,ESC_DOM_ED109,ED109,ED109
ED109_740_760,43,ESC_DOM,12:20:00,12:40:00,020569,ESC_DOM_ED109,ED109,ED109
ED109_805_830,43,ESC_DOM,13:25:00,13:50:00,021018,ESC_DOM_ED109,ED109,ED109
ED109_860_870,43,ESC_DOM,14:20:00,14:30:00,020569,ESC_DOM_ED109,ED109,ED109
ED109_890_900,43,ESC_DOM,14:50:00,15:00:00,020549,ESC_DOM_ED109,ED109,ED109
ED109_920_930,43,ESC_DOM,15:20:00,15:30:00,020569,ESC_DOM_ED109,ED109,ED109
ED109_950_960,43,ESC_DOM,15:50:00,16:00:00,020549,ESC_DOM_ED109,ED109,ED109
ED109_980_990,43,ESC_DOM,16:20:00,16:30:00,020569,ESC_DOM_ED109,ED109,ED109
ED10_1000_1030,43,ESC_DOM,16:40:00,17:10:00,140193,ESC_DOM_ED10,ED10,ED10
ED10_1095_1100,43,ESC_DOM,18:15:00,18:20:00,148812,ESC_DOM_ED10,ED10,ED10
ED10_1125_1140,43,ESC_DOM,18:45:00,19:00:00,140074,ESC_DOM_ED10,ED10,ED10
ED10_1190_1200,43,ESC_DOM,19:50:00,20:00:00,149994,ESC_DOM_ED10,ED10,ED10
ED10_485_490,43,ESC_DOM,08:05:00,08:10:00,140023,ESC_DOM_ED10,ED10,ED10
ED10_535_570,43,ESC_DOM,08:55:00,09:30:00,140946,ESC_DOM_ED10,ED10,ED10
ED10_595_615,43,ESC_DOM,09:55:00,10:15:00,140388,ESC_DOM_ED10,ED10,ED10
ED10_651_685,43,ESC_DOM,10:51:00,11:25:00,140074,ESC_DOM_ED10,ED10,ED10
ED10_735_745,43,ESC_DOM,12:15:00,12:25:00,149994,ESC_DOM_ED10,ED10,ED10
ED10_795_805,43,ESC_DOM,13:15:00,13:25:00,149994,ESC_DOM_ED10,ED10,ED10
ED10_855_875,43,ESC_DOM,14:15:00,14:35:00,140074,ESC_DOM_ED10,ED10,ED10
